"Story","Title","Result","Date","Stability","Duration (s)"
"Add employee information","Add valid employee details","SUCCESS","2018-10-15T01:43:01.365+02:00[Europe/Paris]","0.0","35.05"
"Add employee information","Add invalid employee details","ERROR","2018-10-15T01:43:36.413+02:00[Europe/Paris]","0.0","69.69"
"Delete employee Information","Delete user details","SUCCESS","2018-10-15T01:44:47.449+02:00[Europe/Paris]","0.0","17.34"
"Verify Login to Application","Verify user is able to login with correct credentials","SUCCESS","2018-10-15T01:45:04.929+02:00[Europe/Paris]","0.0","2.67"
"Verify Login to Application","Verify user is not able to login with Invalid credentials","SUCCESS","2018-10-15T01:45:07.602+02:00[Europe/Paris]","0.0","2.05"
"Logout of the Application","Verify user is able to logout when required","SUCCESS","2018-10-15T01:45:09.751+02:00[Europe/Paris]","0.0","3.41"
"Update employee Information","update first name details","SUCCESS","2018-10-15T01:45:13.259+02:00[Europe/Paris]","0.0","9.15"
"Update employee Information","update Last name details","SUCCESS","2018-10-15T01:45:22.41+02:00[Europe/Paris]","0.0","5.85"
"Update employee Information","update Start date details","SUCCESS","2018-10-15T01:45:28.26+02:00[Europe/Paris]","0.0","5.93"
"Update employee Information","update email details","SUCCESS","2018-10-15T01:45:34.191+02:00[Europe/Paris]","0.0","5.76"
"View employee Information","View Existing employee details","SUCCESS","2018-10-15T01:45:40.115+02:00[Europe/Paris]","0.0","2.06"
"View employee Information","View Existing employee are not possible When record doesn't exist","SUCCESS","2018-10-15T01:45:42.176+02:00[Europe/Paris]","0.0","16.82"
